"","x"
"1179","DNAH12"
"1180","MPP6"
"1181","BHLHE40-AS1"
"1182","KAT2B"
"1183","AC005909.2"
"1184","AC026341.1"
"1185","ANO3"
"1186","MEIS1"
"1187","ZNF385D-AS2"
"1188","SPOCK1"
"1189","DIAPH2"
"1190","PROX1-AS1"
"1191","AL049828.1"
"1192","PCED1B"
"1193","F11-AS1"
"1194","E2F7"
"1195","CARMN"
"1196","LMO7"
"1197","GNG12"
"1198","DNAH7"
"1199","ATP1A2"
"1200","RAP2C-AS1"
"1201","CSF1"
"1202","ITGB8"
"1203","AC068286.2"
"1204","HOPX"
"1205","LDLRAD3"
"1206","NPR3"
"1207","CPQ"
"1208","IL33"
"1209","CEMIP2"
"1210","MYO1E"
"1211","CRYM"
"1212","SPATA13"
"1213","SH3TC2-DT"
"1214","AC016987.1"
"1215","MYO16"
"1216","PPP1R17"
"1217","DPF3"
"1218","NPAS2"
"1219","AC106793.1"
"1220","AL049597.2"
"1221","AL357141.1"
"1222","CHODL-AS1"
"1223","AC004053.1"
"1224","AC005999.2"
"1225","ATP10B"
"1226","JUN"
"1227","PCDH9-AS2"
"1228","KIF2C"
"1229","ZFHX3"
"1230","AL096854.1"
"1231","DNAH14"
"1232","AC244502.1"
"1233","AL359091.1"
"1234","ARHGAP25"
"1235","RNF17"
"1236","AL592156.2"
"1237","PAPPA"
"1238","FUT9"
"1239","AC012404.1"
"1240","SPRY4-AS1"
"1241","DLEU1"
"1242","MBP"
"1243","FREM1"
"1244","PLEKHA7"
"1245","LINC01950"
"1246","STXBP5L"
"1247","ARMC4"
"1248","WIPF1"
"1249","LRIG3"
"1250","GLI2"
"1251","L3MBTL4"
"1252","AC092944.1"
"1253","LINC01482"
"1254","AC108169.1"
"1255","CA3"
"1256","TBC1D1"
"1257","SLC38A4"
"1258","ANXA1"
"1259","DOCK1"
"1260","LAMA2"
"1261","TRPC5"
"1262","NFATC2"
"1263","AURKA"
"1264","BCL2"
"1265","FRMD4B"
"1266","ZHX2"
"1267","FREM2"
"1268","CYTOR"
"1269","DPH6"
"1270","TMEM163"
"1271","AP001977.1"
"1272","RBMS3-AS3"
"1273","AOAH"
"1274","AC105411.1"
"1275","AL135878.1"
"1276","ANKRD33B"
"1277","AC124254.2"
"1278","POSTN"
"1279","BRCA1"
"1280","AP000459.2"
"1281","AL442636.1"
"1282","GALNT14"
"1283","AC068722.1"
"1284","KIF13A"
"1285","RCAN2"
"1286","GAREM1"
